Species,No.,Year,Month,Province,County,District,Longitude,Latitude,Type of conflict (standard),Victem,Number of victems,Number of deaths,URL
Asiatic Black Bear,ABB027,2014,5,吉林省,敦化市,延边朝鲜族自治州敦化市黄泥河镇马鹿沟林场,128.615998,43.593606,Damage beehive,,,,http://www.hkwb.net/news/content/2014-06/10/content_2283963.htm
Asiatic Black Bear,ABB028,2014,10,陕西省,汉滨区,安康市汉滨区叶坪镇,108.72536,33.150111,Attack human,Human,1,,https://news.hsw.cn/system/2014/1030/171547.shtml
Asiatic Black Bear,ABB029,2014,7,陕西省,蓝田县,西安市蓝田县汤峪镇汤三村,109.21522,34.011861,Attack human,Human,1,,http://news.sohu.com/20140704/n401784591.shtml
Asiatic Black Bear,ABB030,2014,8,台湾省,海端乡,南投县海端乡嘉明湖附近木屋,121.034032,23.293976,Damage property,,,,https://www.chinatimes.com/realtimenews/20140817001785-260402?chdtv
Asiatic Black Bear,ABB031,2014,7,云南省,德钦县,迪庆州奔子栏尼丁村,99.28,27.820778,Attack human,Human,1,,http://news.sohu.com/20140805/n403119797.shtml
Asiatic Black Bear,ABB032,2015,10,黑龙江省,饶河县,双鸭山市饶河县三中,134.003694,46.795722,Enter human settlements,,,,http://politics.people.com.cn/n/2015/1013/c70731-27690883.html
Asiatic Black Bear,ABB033,2015,9,黑龙江省,虎林市,虎林市虎头镇,133.669861,45.986357,Damage crops,,,,https://ms.big5.dbw.cn/system/2015/09/11/056810029.shtml
Asiatic Black Bear,ABB034,2015,9,黑龙江省,虎林市,虎林市虎头镇,133.660972,45.981417,Attack human,Human,1,,https://heilongjiang.dbw.cn/system/2015/09/11/056809645.shtml
Asiatic Black Bear,ABB035,2015,12,黑龙江省,密山市,密山市杨木乡兴隆村畜牧场,132.433889,45.614667,Attack livestock,Dog,1,1,https://www.chinanews.com.cn/sh/2015/12-04/7656620.shtml
Asiatic Black Bear,ABB036,2015,8,黑龙江省,虎林市,虎林市珍宝岛湿地保护区,133.51931,46.385774,Damage beehive,,,,https://heilongjiang.dbw.cn/system/2015/09/01/056786211.shtml
Asiatic Black Bear,ABB037,2015,9,湖北省,五峰土家族自治县,宜昌市五峰土家族自治县后河村,110.614739,30.077579,Damage beehive,,,,http://lyj.yichang.gov.cn/content-43066-849202-1.html
Asiatic Black Bear,ABB038,2015,1,陕西省,蓝田县,西安市蓝田县汤峪镇,109.21525,34.012167,Attack human,Human,1,,http://news.cnr.cn/native/gd/20150114/t20150114_517414841.shtml
Asiatic Black Bear,ABB039,2015,6,四川省,金堂县,成都市金堂县赵家镇石峰村,104.573028,30.812889,Damage property,Chicken,2,2,https://e.cdsb.com/html/2015-07/01/content_527275.htm
Asiatic Black Bear,ABB040,2015,8,四川省,理塘县,甘孜州理塘县村戈乡,100.85741,29.373889,Attack human,Human,1,,https://society.huanqiu.com/article/9CaKrnJP9NF
Asiatic Black Bear,ABB041,2015,5,四川省,青川县,广元市青川县楼子乡,105.31369,32.364722,Attack human,Human,1,,https://news.enorth.com.cn/system/2015/05/12/030222032.shtml
Asiatic Black Bear,ABB042,2015,7,云南省,新平县,玉溪市新平县新化乡鲁一尼村委会白达莫小组,101.86036,23.978083,Attack human,Human,1,,https://society.huanqiu.com/article/9CaKrnJNgr2
Asiatic Black Bear,ABB043,2015,7,云南省,大姚县,大姚县湾碧乡,101.18902,26.352806,Attack human,Human,2,1,https://www.chinanews.com.cn/m/sh/2015/08-02/7442456.shtml
Asiatic Black Bear,ABB044,2016,8,黑龙江省,抚远市,佳木斯市抚远市海青乡,134.617333,47.89325,Attack human,Human,1,,http://www.hinews.cn/news/system/2016/08/26/030644297.shtml
Asiatic Black Bear,ABB045,2016,10,黑龙江省,虎林市,虎林市阿北乡新政村,133.280028,46.211528,Attack human,Human,1,,http://news.youth.cn/sh/201610/t20161007_8720748.htm
Asiatic Black Bear,ABB046,2016,9,黑龙江省,虎林市,虎林市东方红镇大塔山,133.101667,46.213028,Attack human,Human,1,1,https://www.sohu.com/a/115070775_123753
Asiatic Black Bear,ABB047,2016,9,黑龙江省,尚志市,尚志市苇河镇苇河林业局冲河林场,128.394111,44.953,Attack human,Human,1,,https://heilongjiang.big5.dbw.cn/system/2016/09/24/057387692.shtml
Asiatic Black Bear,ABB048,2016,9,黑龙江省,虎林市,虎林市珍宝岛乡宝丰村,133.72149,46.241033,Damage beehive,,,,https://heilongjiang.big5.dbw.cn/system/2016/09/06/057365588.shtml
Asiatic Black Bear,ABB049,2016,6,吉林省,珲春市,延边朝鲜族自治州珲春市英安镇大荒沟村,130.408485,43.123642,Damage beehive,,,,https://news.cnjiwang.com/jlxwdt/ybz/201606/2121687.html
Asiatic Black Bear,ABB050,2016,5,江西省,铅山县,铅山县叶家厂保护管理站工作居住区,117.80325,28.287722,Damage beehive,,,,http://www.hxnews.com/news/fj/np/201605/11/866715.shtml
Asiatic Black Bear,ABB051,2016,7,江西省,婺源县,上饶市婺源县大鄣山鄣山村,117.948639,29.258639,Attack human,Human,1,,https://news.cnr.cn/native/gd/20160727/t20160727_522804129.shtml
Asiatic Black Bear,ABB052,2016,6,四川省,米易县,攀枝花市米易县白坡乡松坪村,101.90752,27.130472,Attack human,Human,1,,https://news.china.com/socialgd/10000169/20160613/22857885.html
Asiatic Black Bear,ABB053,2016,6,台湾省,海端乡,南投县海端乡嘉明湖向阳山屋,121.034115,23.292861,Damage property,,,,https://www.epochtimes.com/gb/16/6/5/n7967470.htm
Asiatic Black Bear,ABB054,2016,6,台湾省,海端乡,南投县海端乡嘉明湖向阳山屋,121.034242,23.293007,Damage property,,,,https://www.epochtimes.com/gb/16/6/12/n7988838.htm
Asiatic Black Bear,ABB055,2016,5,台湾省,阿里山乡,南投县嘉义乡玉山国家公园东部,120.957522,23.469895,Enter human settlements,,,,https://www.epochtimes.com/gb/16/6/3/n7959886.htm
Asiatic Black Bear,ABB056,2016,5,台湾省,阿里山乡,南投县嘉义乡玉山国家公园抱崖山屋,121.139863,23.334602,Damage property,,,,https://www.chinatimes.com/realtimenews/20160603005028-260405?chdtv
Asiatic Black Bear,ABB057,2016,8,云南省,腾冲市,腾冲市高黎贡山自然保护区腾冲分局曲石管理站林家铺护林点,98.58719,25.695668,Damage beehive,,,,http://m.cnr.cn/news/20160811/t20160811_522949111.html
Asiatic Black Bear,ABB058,2016,4,重庆市,城口县,城口县龙田乡,108.64147,31.974917,Attack human,Human,1,,https://news.china.com/socialgd/10000169/20160420/22475396.html
Asiatic Black Bear,ABB059,2017,6,黑龙江省,饶河县,双鸭山市饶河县城区,133.866889,47.366583,Damage crops,,,,https://www.sohu.com/a/152990175_267106
Asiatic Black Bear,ABB060,2017,5,黑龙江省,伊春市,伊春市泉石林场,129.868111,48.658611,Attack human,Human,1,,http://www.chinanews.com/sh/2017/05-26/8234706.shtml
Asiatic Black Bear,ABB061,2017,8,黑龙江省,海林市,牡丹江市海林市奋斗农场附近,128.833028,44.717444,Attack human,Human,1,,https://news.sina.com.cn/s/2017-08-20/doc-ifykcqaw0277874.shtml
Asiatic Black Bear,ABB062,2017,5,黑龙江省,伊春市,伊春市泉石林场,129.868056,48.658611,Attack human,Human,1,,https://www.thepaper.cn/newsDetail_forward_1684610?hotComm=true
Asiatic Black Bear,ABB063,2017,8,黑龙江省,海林市,海林市红松管护林附近,129.135111,44.927556,Attack human,Human,1,,http://news.sina.com.cn/o/2017-08-11/doc-ifyixcaw4034594.shtml
Asiatic Black Bear,ABB064,2017,11,四川省,万源市,达州市万源市竹峪镇,107.71794,32.205417,Attack human,Human,1,,https://baijiahao.baidu.com/s?id=1585822985448952592&wfr=spider&for=pc
Asiatic Black Bear,ABB065,2017,8,台湾省,海端乡,南投县海端乡嘉明湖旁小屋,121.033972,23.292831,Damage property,,,,https://www.epochtimes.com/gb/14/8/17/n4226892.htm
Asiatic Black Bear,ABB066,2017,8,云南省,大姚县,楚雄自治州大姚县湾碧乡大羊窝子山,101.18936,26.353583,Attack human,Human,1,,https://www.sohu.com/a/165283332_123753
Asiatic Black Bear,ABB067,2017,4,云南省,大姚县,楚雄自治州大姚县碧湾乡,101.17533,26.216889,Attack human,Human,1,,https://baijiahao.baidu.com/s?id=1565927223826857&wfr=spider&for=pc
Asiatic Black Bear,ABB068,2017,5,云南省,永胜县,丽江市永胜县鲁地拉镇,100.81813,26.200278,Attack human,Human,1,,https://weibo.com/2600864183/F5lb241SG?type=comment
Asiatic Black Bear,ABB069,2017,10,云南省,新平县,玉溪市新平县新化乡古州野林光头山,101.84813,24.067056,Attack human,Human,1,,https://www.thepaper.cn/newsDetail_forward_1821333
Asiatic Black Bear,ABB070,2018,10,陕西省,南郑区,汉中市南郑区碑坝镇,107.14952,32.604556,Attack human,Human,1,,https://news.china.com/news100/11038989/20181016/34174802_all.html
Asiatic Black Bear,ABB071,2018,8,四川省,江油市,绵阳市江油市雁门镇栽秧沟,105.20433,32.219361,Attack human,Human,1,,https://www.sohu.com/a/248700666_825054
Asiatic Black Bear,ABB072,2018,4,四川省,盐津县,昭通市盐津县插河乡花坪子,104.17597,28.117972,Attack human,Human,1,,https://www.sohu.com/a/229002648_99958583
Asiatic Black Bear,ABB073,2018,3,四川省,屏山县,宜宾市屏山县老君山,104.03591,28.817028,Attack human,Human,1,,https://news.jstv.com/a/20180330/1522416468298.shtml
Asiatic Black Bear,ABB074,2018,8,台湾省,海端乡,台东县海端乡嘉明湖旁小屋,121.034047,23.293936,Damage property,,,,https://www.ettoday.net/news/20180820/1239731.htm
Asiatic Black Bear,ABB075,2018,7,台湾省,鹿野乡,台东县鹿野乡武陵村,121.105376,22.967161,Attack livestock,Chicken,22,22,https://www.chinatimes.com/realtimenews/20180802003492-260405?chdtv
Asiatic Black Bear,ABB076,2018,6,云南省,永胜县,丽江市永胜县鲁地拉镇治读坪村林区,100.81516,26.201583,Attack human,Human,1,,https://www.chuxiong.com/forum.php?mod=viewthread&action=printable&tid=45159
Asiatic Black Bear,ABB077,2019,10,黑龙江省,伊春市,伊春市昆仑气林场,128.386639,47.570306,Attack human,Human,2,,https://baijiahao.baidu.com/s?id=1647604877502276304&wfr=spider&for=pc
Asiatic Black Bear,ABB078,2019,9,湖北省,神农架林区,神农架林区官门山风景区,110.478858,31.400723,Damage beehive,,,,http://hb.people.com.cn/n2/2020/0806/c194063-34209650.html
Asiatic Black Bear,ABB079,2019,5,吉林省,桦甸市,桦甸市常山镇大河村甸沟口附近一林场,126.729845,43.361501,Damage beehive,,,,https://baijiahao.baidu.com/s?id=1633876989011627409&wfr=spider&for=pc
Asiatic Black Bear,ABB080,2019,6,陕西省,鄠邑区,西安市秦岭紫阁峪,108.745806,33.967778,Attack human,Human,1,,https://baijiahao.baidu.com/s?id=1635963620779337726&wfr=spider&for=pc
Asiatic Black Bear,ABB081,2019,2,台湾省,信义乡,玉山塔塔加游憩区鹿林小屋,120.881229,23.473923,Damage property,,,,https://www.epochtimes.com/b5/19/2/21/n11060853.htm
